mol_name,label,central_bond,elem_j,elem_k,in_ring,mmff_dihedral,dft_dihedral,delta,abs_delta,conformer_change
1-propanol,H-C-C-C,C-C,C,C,0,58.94695476097894,61.1772572346726,2.230302473693655,2.230302473693655,False
1-propanol,C-C-C-O,C-C,C,C,0,63.79636387484444,62.90906733489446,-0.8872965399499719,0.8872965399499719,False
1-propanol,C-C-O-H,C-O,C,O,0,179.7062952082774,-176.3869447460747,3.9067600456479,3.9067600456479,False
2-ethylpyrazine,H-C-C-C,C-C,C,C,0,179.98339407369735,179.9867072951345,0.003313221437139191,0.003313221437139191,False
2-ethylpyrazine,C-C-C-C,C-C,C,C,0,0.06409589677875556,0.04914129923134164,-0.01495459754741546,0.01495459754741546,False
2-ethylpyrazine,C-C-C-N,C-C,C,C,0,-179.94385603378703,-179.95232515832888,-0.008469124541846895,0.008469124541846895,False
2-propanol,H-C-C-O,C-C,C,C,0,-57.73011030189712,-53.70886580454902,4.021244497348107,4.021244497348107,False
2-propanol,H-C-C-C,C-C,C,C,0,-178.7708831274376,-179.0921511699577,-0.3212680425201029,0.3212680425201029,False
2-propanol,C-C-O-H,C-O,C,O,0,-61.32639949155963,-63.119572599131494,-1.7931731075718744,1.7931731075718744,False
2-propanol,C-C-O-H,C-O,C,O,0,61.3264694429739,63.119572599131494,1.7931031561575992,1.7931031561575992,False
2-propanol,C-C-C-H,C-C,C,C,0,178.7707924070563,179.0921511699577,0.3213587629014114,0.3213587629014114,False
2-propanol,O-C-C-H,C-C,C,C,0,57.73004293780087,53.70886580454902,-4.021177133251854,4.021177133251854,False
3-methylbut-1-ene,C-C-C-C,C-C,C,C,0,5.815300414361517,2.3502000577522373,-3.4651003566092697,3.4651003566092697,False
3-methylbut-1-ene,C-C-C-C,C-C,C,C,0,-118.75402888837704,-123.26437168340463,-4.510342795027611,4.510342795027611,False
3-methylbut-1-ene,C-C-C-H,C-C,C,C,0,-63.50799141487513,-62.84043303924877,0.6675583756263563,0.6675583756263563,False
3-methylbut-1-ene,C-C-C-H,C-C,C,C,0,60.93735019303387,62.17524043364032,1.237890240606447,1.237890240606447,False
3-methylbut-1-ene,C-C-C-H,C-C,C,C,0,-56.1503048022749,-54.38766859379998,1.7626362084749303,1.7626362084749303,False
3-methylbut-1-ene,C-C-C-H,C-C,C,C,0,176.16955485381598,178.32698907585538,2.1574342220393987,2.1574342220393987,False
4-methoxy-N_N-dimethyl-benzamide,H-C-O-C,C-O,C,O,0,-61.45008688575855,-60.933847131549584,0.516239754208982,0.516239754208982,False
4-methoxy-N_N-dimethyl-benzamide,C-O-C-C,C-O,O,C,0,-1.5426246881105599,-0.6509410364871997,0.8916836516233673,0.8916836516233673,False
4-methoxy-N_N-dimethyl-benzamide,C-O-C-C,C-O,O,C,0,178.1421316139226,178.90638379994928,0.7642521860266811,0.7642521860266811,False
4-methoxy-N_N-dimethyl-benzamide,C-C-C-O,C-C,C,C,0,49.673747351834,36.05363895093865,-13.620108400895361,13.620108400895361,False
4-methoxy-N_N-dimethyl-benzamide,C-C-C-N,C-C,C,C,0,-131.13880429153326,-146.58735951426758,-15.448555222734313,15.448555222734313,False
4-methoxy-N_N-dimethyl-benzamide,C-C-C-O,C-C,C,C,0,-126.93862633189192,-137.76965810836793,-10.83103177647601,10.83103177647601,False
4-methoxy-N_N-dimethyl-benzamide,C-C-C-N,C-C,C,C,0,52.248822024740754,39.589343426425486,-12.659478598315275,12.659478598315275,False
4-methoxy-N_N-dimethyl-benzamide,C-C-N-C,C-N,C,N,0,-172.7194785105693,-173.40363715636528,-0.684158645795975,0.684158645795975,False
4-methoxy-N_N-dimethyl-benzamide,C-C-N-C,C-N,C,N,0,20.862184451727916,28.303522449990623,7.441337998262696,7.441337998262696,False
4-methoxy-N_N-dimethyl-benzamide,O-C-N-C,C-N,C,N,0,6.415903973673431,3.9153369871291455,-2.5005669865442997,2.5005669865442997,False
4-methoxy-N_N-dimethyl-benzamide,O-C-N-C,C-N,C,N,0,-160.0024330640295,-154.37750340651573,5.624929657513775,5.624929657513775,False
4-methoxy-N_N-dimethyl-benzamide,C-N-C-H,C-N,N,C,0,143.0033747817108,147.21479441066765,4.211419628956861,4.211419628956861,False
4-methoxy-N_N-dimethyl-benzamide,C-N-C-H,C-N,N,C,0,-49.42497367932555,-52.3449128179433,-2.9199391386177638,2.9199391386177638,False
4-methoxy-N_N-dimethyl-benzamide,C-N-C-H,C-N,N,C,0,120.66996404667114,110.83047588727595,-9.839488159395188,9.839488159395188,False
4-methoxy-N_N-dimethyl-benzamide,C-N-C-H,C-N,N,C,0,-45.99991528834171,-47.98477853940368,-1.9848632510619666,1.9848632510619666,False
MEK,H-C-C-C,C-C,C,C,0,-176.72974594760507,-178.4108032717218,-1.681057324116722,1.681057324116722,False
MEK,C-C-C-C,C-C,C,C,0,-77.32780687489951,-92.81446966640533,-15.486662791505807,15.486662791505807,False
MEK,C-C-C-O,C-C,C,C,0,101.26878809863456,85.75963252010338,-15.509155578531193,15.509155578531193,False
MEK,C-C-C-H,C-C,C,C,0,67.7395166570574,48.75011696731256,-18.98939968974483,18.98939968974483,False
MEK,O-C-C-H,C-C,C,C,0,-110.85693946058316,-129.81167945906688,-18.954739998483717,18.954739998483717,False
THF,C-C-C-C,C-C,C,C,1,36.97131863594559,36.47589661302542,-0.4954220229201667,0.4954220229201667,False
THF,C-C-C-O,C-C,C,C,1,-31.176926965437534,-30.828524493658925,0.3484024717785985,0.3484024717785985,False
THF,C-C-O-C,C-O,C,O,1,12.108908291167815,12.084703532635588,-0.02420475853222115,0.02420475853222115,False
THF,C-O-C-C,C-O,O,C,1,12.10884775882843,12.084703309723855,-0.024144449104568366,0.024144449104568366,False
THF,O-C-C-C,C-C,C,C,1,-31.17689565557069,-30.828535535241965,0.34836012032872077,0.34836012032872077,False
acetaldehyde,H-C-C-O,C-C,C,C,0,0.00013601943159754335,-0.007723646871394964,-0.007859666303005497,0.007859666303005497,False
acetamide,H-C-C-N,C-C,C,C,0,116.54544796654015,116.5468379114438,0.0013899449036500755,0.0013899449036500755,False
acetamide,H-C-C-O,C-C,C,C,0,-63.579193264036476,-63.79159873974954,-0.21240547571306934,0.21240547571306934,False
acetamide,C-C-N-H,C-N,C,N,0,-175.82049576352568,-175.67902586191076,0.14146990161492567,0.14146990161492567,False
acetamide,O-C-N-H,C-N,C,N,0,4.301440033015112,4.659326933902567,0.35788690088745057,0.35788690088745057,False
acetic_acid,H-C-C-O,C-C,C,C,0,-119.0779424919373,-121.00805076276019,-1.9301082708228705,1.9301082708228705,False
acetic_acid,H-C-C-O,C-C,C,C,0,60.922003385801865,58.99372137351524,-1.9282820122866156,1.9282820122866156,False
acetic_acid,C-C-O-H,C-O,C,O,0,-179.99992801031252,179.999094603085,-0.0009773866024715971,0.0009773866024715971,False
acetic_acid,O-C-O-H,C-O,C,O,0,2.126113559524186e-05,0.0007905823399581998,0.0007693212043591302,0.0007693212043591302,False
acetone,H-C-C-C,C-C,C,C,0,60.523088113083375,58.99529212358401,-1.5277959894993671,1.5277959894993671,False
acetone,H-C-C-O,C-C,C,C,0,-119.47689025629928,-121.004707876416,-1.527817620116707,1.527817620116707,False
acetone,C-C-C-H,C-C,C,C,0,-60.522991157434944,-58.9952514834669,1.5277396739680285,1.5277396739680285,False
acetone,O-C-C-H,C-C,C,C,0,119.4769872119317,121.00474851653313,1.5277613046014267,1.5277613046014267,False
acetonitrile,H-C-C-N,C-C,C,C,0,-60.99488775464028,-169.65734343057474,-108.66245567593447,108.66245567593447,True
aniline,H-N-C-C,C-N,N,C,0,-160.40548539740203,-156.31689938901025,4.088586008391786,4.088586008391786,False
aniline,H-N-C-C,C-N,N,C,0,30.279568620772835,26.608334054955048,-3.671234565817798,3.671234565817798,False
butane,H-C-C-C,C-C,C,C,0,-65.7073667705209,-62.60112915720661,3.106237613314306,3.106237613314306,False
butane,C-C-C-C,C-C,C,C,0,65.29695984456527,65.52629286275695,0.2293330181916815,0.2293330181916815,False
butane,C-C-C-H,C-C,C,C,0,174.9462185674747,177.36457059158045,2.418352024105758,2.418352024105758,False
cyclohexane,C-C-C-C,C-C,C,C,1,54.263555083155026,54.65811369568443,0.3945586125294085,0.3945586125294085,False
cyclohexane,C-C-C-C,C-C,C,C,1,-54.26355188947266,-54.67351418878432,-0.4099622993116441,0.4099622993116441,False
cyclohexane,C-C-C-C,C-C,C,C,1,54.26354550530013,54.6671612721254,0.40361576682528266,0.40361576682528266,False
cyclohexane,C-C-C-C,C-C,C,C,1,-54.263547958013305,-54.65811369568443,-0.39456573767111536,0.39456573767111536,False
cyclohexane,C-C-C-C,C-C,C,C,1,54.26360522847363,54.67351418878432,0.4099089603107018,0.4099089603107018,False
cyclohexane,C-C-C-C,C-C,C,C,1,-54.26360147139594,-54.6671612721254,-0.40355980072945385,0.40355980072945385,False
cyclohexanol,H-O-C-C,C-O,O,C,0,-179.18039724238488,176.63869238925912,-4.180910368355967,4.180910368355967,False
cyclohexanol,H-O-C-C,C-O,O,C,0,58.47180647854601,55.14380066565523,-3.3280058128907797,3.3280058128907797,False
cyclohexanol,O-C-C-C,C-C,C,C,1,-68.26979412858505,-68.0780919996927,0.19170212889235927,0.19170212889235927,False
cyclohexanol,C-C-C-C,C-C,C,C,1,52.960710011354756,53.57243228674546,0.6117222753907186,0.6117222753907186,False
cyclohexanol,C-C-C-C,C-C,C,C,1,-53.748629029237314,-54.32214191801209,-0.5735128887747862,0.5735128887747862,False
cyclohexanol,C-C-C-C,C-C,C,C,1,54.39333012580729,54.86159764948289,0.46826752367559266,0.46826752367559266,False
cyclohexanol,C-C-C-C,C-C,C,C,1,-54.51354049678521,-55.222508130798545,-0.7089676340133337,0.7089676340133337,False
cyclohexanol,C-C-C-C,C-C,C,C,1,53.96345437682595,55.04545523790541,1.0820008610794503,1.0820008610794503,False
cyclohexanol,C-C-C-O,C-C,C,C,1,67.52465936795933,64.75210848844219,-2.772550879517155,2.772550879517155,False
cyclohexanol,C-C-C-C,C-C,C,C,1,-53.07051328654867,-54.016505455378216,-0.9459921688295481,0.9459921688295481,False
cyclohexanone,O-C-C-C,C-C,C,C,1,-135.87042972106906,-131.19547936639532,4.67495035467374,4.67495035467374,False
cyclohexanone,C-C-C-C,C-C,C,C,1,49.705672413948406,48.84913841140876,-0.8565340025396608,0.8565340025396608,False
cyclohexanone,C-C-C-C,C-C,C,C,1,-52.04301067605592,-51.93995530381839,0.10305537223752026,0.10305537223752026,False
cyclohexanone,C-C-C-C,C-C,C,C,1,56.95747896706053,56.4750260459649,-0.48245292109561433,0.48245292109561433,False
cyclohexanone,C-C-C-C,C-C,C,C,1,-56.95746361178433,-56.47502604596491,0.4824375658194242,0.4824375658194242,False
cyclohexanone,C-C-C-C,C-C,C,C,1,52.04301465605877,51.93995530381839,-0.10305935224039331,0.10305935224039331,False
cyclohexanone,C-C-C-O,C-C,C,C,1,135.8704132680187,131.19547936639532,-4.674933901623376,4.674933901623376,False
cyclohexanone,C-C-C-C,C-C,C,C,1,-49.70568610724046,-48.84913841140875,0.8565476958316935,0.8565476958316935,False
diethyl_ether,H-C-C-O,C-C,C,C,0,64.16675956735224,62.953146503499276,-1.2136130638529607,1.2136130638529607,False
diethyl_ether,C-C-O-C,C-O,C,O,0,-85.03693108352716,-85.86935251044812,-0.8324214269209733,0.8324214269209733,False
diethyl_ether,C-O-C-C,C-O,O,C,0,-85.03685017622227,-85.86935251044812,-0.8325023342258646,0.8325023342258646,False
diethyl_ether,O-C-C-H,C-C,C,C,0,64.16686704700342,62.95311474141665,-1.2137523055867803,1.2137523055867803,False
dimethyl_ether,H-C-O-C,C-O,C,O,0,179.9998146191332,179.9999451294522,0.00013051031899635746,0.00013051031899635746,False
dimethyl_ether,C-O-C-H,C-O,O,C,0,-61.07950898150456,-60.67795741694163,0.4015515645629364,0.4015515645629364,False
dimethylamine,H-C-N-C,C-N,C,N,0,-61.099902514403,-65.41830944315387,-4.318406928750875,4.318406928750875,False
dimethylamine,C-N-C-H,C-N,N,C,0,-60.93509080134794,-54.943604942755414,5.991485858592512,5.991485858592512,False
dioxane,O-C-C-O,C-C,C,C,1,-61.48913930660353,-60.50500398913425,0.9841353174692813,0.9841353174692813,False
dioxane,C-C-O-C,C-O,C,O,1,28.424697680379644,28.19071032300562,-0.2339873573740192,0.2339873573740192,False
dioxane,C-O-C-C,C-O,O,C,1,28.41169135351663,28.183990754278895,-0.22770059923772124,0.22770059923772124,False
dioxane,O-C-C-O,C-C,C,C,1,-61.48381059304679,-60.50396865688663,0.9798419361601702,0.9798419361601702,False
dioxane,C-C-O-C,C-O,C,O,1,28.419590176746155,28.189715338563055,-0.2298748381830933,0.2298748381830933,False
dioxane,C-O-C-C,C-O,O,C,1,28.416838365334424,28.185039732677808,-0.23179863265661993,0.23179863265661993,False
ethane,H-C-C-H,C-C,C,C,0,59.99992197320046,59.99968678568998,-0.00023518751046935904,0.00023518751046935904,False
ethanol,H-C-C-O,C-C,C,C,0,60.11741451506699,63.33307762653282,3.2156631114658296,3.2156631114658296,False
ethanol,C-C-O-H,C-O,C,O,0,-59.85755764121872,-61.647891794319676,-1.7903341531009573,1.7903341531009573,False
ethyl_acetate,H-C-C-O,C-C,C,C,0,59.12623539737329,60.23210517070926,1.105869773335968,1.105869773335968,False
ethyl_acetate,C-C-O-C,C-O,C,O,0,-179.99983309937485,-179.9999274914704,-9.439209554784611e-05,9.439209554784611e-05,False
ethyl_acetate,C-O-C-C,C-O,O,C,0,-179.99999170005276,-179.9999559412506,3.575880216999394e-05,3.575880216999394e-05,False
ethyl_acetate,C-O-C-O,C-O,O,C,0,-1.587872365688016e-05,4.405874943299944e-05,5.9937473082527504e-05,5.9937473082527504e-05,False
ethyl_acetate,O-C-C-H,C-C,C,C,0,60.954109220586936,59.07356184195355,-1.8805473786333948,1.8805473786333948,False
ethyl_acetate,O-C-C-H,C-C,C,C,0,-119.04586692594656,-120.92643815804647,-1.8805712320998964,1.8805712320998964,False
formic_acid,H-O-C-O,C-O,O,C,0,5.345548611881103e-06,0.0,-5.345548601098926e-06,5.345548601098926e-06,False
heptan-1-ol,H-C-C-C,C-C,C,C,0,-69.0123261411818,-62.84477899733009,6.167547143851721,6.167547143851721,False
heptan-1-ol,C-C-C-C,C-C,C,C,0,63.779309353321274,61.70227865419688,-2.077030699124407,2.077030699124407,False
heptan-1-ol,C-C-C-C,C-C,C,C,0,-96.33262445759966,-93.65342224370575,2.679202213893916,2.679202213893916,False
heptan-1-ol,C-C-C-C,C-C,C,C,0,-176.0692478258377,172.79590187037397,-11.134850303788312,11.134850303788312,False
heptan-1-ol,C-C-C-C,C-C,C,C,0,-65.05667840803925,-66.10017808374512,-1.043499675705874,1.043499675705874,False
heptan-1-ol,C-C-C-O,C-C,C,C,0,-57.848110629134894,-56.76530244633458,1.0828081828003064,1.0828081828003064,False
heptan-1-ol,C-C-O-H,C-O,C,O,0,-179.58072604277083,178.27062267082925,-2.148651286399854,2.148651286399854,False
hexane,H-C-C-C,C-C,C,C,0,66.56322106740627,63.14902886522887,-3.4141922021773894,3.4141922021773894,False
hexane,C-C-C-C,C-C,C,C,0,-66.70571835239832,-66.24808140429731,0.45763694810102606,0.45763694810102606,False
hexane,C-C-C-C,C-C,C,C,0,179.99976162551252,-179.99997307524092,0.0002652992465641546,0.0002652992465641546,False
hexane,C-C-C-C,C-C,C,C,0,66.70593585608232,66.248048674053,-0.4578871820293102,0.4578871820293102,False
hexane,C-C-C-H,C-C,C,C,0,54.62780977813124,57.13771072555319,2.5099009474219542,2.5099009474219542,False
isobutylene,H-C-C-C,C-C,C,C,0,120.0535584026951,120.88770864893725,0.8341502462421317,0.8341502462421317,False
isobutylene,H-C-C-C,C-C,C,C,0,-59.94638063882247,-59.11229135106276,0.8340892877596957,0.8340892877596957,False
isobutylene,C-C-C-H,C-C,C,C,0,-179.9999594411329,180.0,-4.055886711284984e-05,4.055886711284984e-05,False
isobutylene,C-C-C-H,C-C,C,C,0,0.00010151738232906353,0.0,-0.00010151738231911622,0.00010151738231911622,False
methanesulfonyl_chloride,H-C-S-O,C-S,C,S,0,-67.32038070356936,-68.03969840403205,-0.7193177004626818,0.7193177004626818,False
methanesulfonyl_chloride,H-C-S-O,C-S,C,S,0,67.32043872982959,68.03969840403205,0.7192596742024762,0.7192596742024762,False
methanesulfonyl_chloride,H-C-S-Cl,C-S,C,S,0,-179.99995930856673,180.0,-4.069143324159086e-05,4.069143324159086e-05,False
methanol,H-C-O-H,C-O,C,O,0,-60.40410879266457,-61.53854227527046,-1.1344334826058855,1.1344334826058855,False
methyl_acetate,H-C-O-C,C-O,C,O,0,-179.99995388427803,-179.99996911608693,-1.5231808902171906e-05,1.5231808902171906e-05,False
methyl_acetate,C-O-C-C,C-O,O,C,0,-179.99993499185146,179.99975736887572,-0.0003076392728189603,0.0003076392728189603,False
methyl_acetate,C-O-C-O,C-O,O,C,0,6.145268876570486e-05,0.00023443815922628814,0.0001729854704706213,0.0001729854704706213,False
methyl_acetate,O-C-C-H,C-C,C,C,0,179.9998148245636,-179.99984976269624,0.00033541274012804934,0.00033541274012804934,False
methyl_acetate,O-C-C-H,C-C,C,C,0,-0.00018166819869534136,-0.00034036888356865657,-0.0001587006848637884,0.0001587006848637884,False
methylamine,H-C-N-H,C-N,C,N,0,-178.18182435402122,-179.45971112007354,-1.277886766052319,1.277886766052319,False
morpholine,N-C-C-O,C-C,C,C,1,-56.81541946989292,-54.3144211928598,2.500998277033119,2.500998277033119,False
morpholine,C-C-O-C,C-O,C,O,1,57.04558935729728,57.950369405273264,0.9047800479759758,0.9047800479759758,False
morpholine,C-O-C-C,C-O,O,C,1,-57.04556221777196,-57.950369405273264,-0.9048071875013193,0.9048071875013193,False
morpholine,O-C-C-N,C-C,C,C,1,56.81534986036109,54.31442119285979,-2.5009286675012845,2.5009286675012845,False
morpholine,C-C-N-C,C-N,C,N,1,-54.062185253989334,-50.009089429330295,4.053095824659039,4.053095824659039,False
morpholine,C-N-C-C,C-N,N,C,1,54.06227202206269,50.009089429330295,-4.053182592732412,4.053182592732412,False
neopentane,H-C-C-C,C-C,C,C,0,179.99959554060342,-179.95223522593102,0.04816923346555768,0.04816923346555768,False
neopentane,H-C-C-C,C-C,C,C,0,-60.00034171386389,-59.96534561038526,0.034996103478619034,0.034996103478619034,False
neopentane,H-C-C-C,C-C,C,C,0,59.999641962418316,60.044715571951116,0.04507360953280681,0.04507360953280681,False
neopentane,C-C-C-H,C-C,C,C,0,-179.9998921911304,-179.94399951246524,0.05589267866517389,0.05589267866517389,False
neopentane,C-C-C-H,C-C,C,C,0,60.00006544097041,60.06460033483708,0.06453489386666433,0.06453489386666433,False
neopentane,C-C-C-H,C-C,C,C,0,-59.99996720763898,-59.94505763088826,0.05490957675073105,0.05490957675073105,False
neopentane,C-C-C-H,C-C,C,C,0,60.000143004422526,59.95095002303457,-0.0491929813879608,0.0491929813879608,False
neopentane,C-C-C-H,C-C,C,C,0,-179.99980336271702,179.93851897984788,-0.0616776574350979,0.0616776574350979,False
neopentane,C-C-C-H,C-C,C,C,0,-59.99979139559759,-60.05341390819197,-0.05362251259438722,0.05362251259438722,False
neopentane,C-C-C-H,C-C,C,C,0,-60.00017398127448,-59.973851199482105,0.026322781792373462,0.026322781792373462,False
neopentane,C-C-C-H,C-C,C,C,0,179.99984790308298,-179.96932039847215,0.030831698444899303,0.030831698444899303,False
neopentane,C-C-C-H,C-C,C,C,0,59.99980228588533,60.030869947119804,0.031067661234487787,0.031067661234487787,False
pentane,H-C-C-C,C-C,C,C,0,179.9999294312022,180.0,7.056879780975578e-05,7.056879780975578e-05,False
pentane,C-C-C-C,C-C,C,C,0,-179.99989667301332,180.0,-0.00010332698661841277,0.00010332698661841277,False
pentane,C-C-C-C,C-C,C,C,0,179.999966851634,180.0,3.314836598633519e-05,3.314836598633519e-05,False
pentane,C-C-C-H,C-C,C,C,0,179.99991247720038,180.0,8.752279961754539e-05,8.752279961754539e-05,False
phenol,H-O-C-C,C-O,O,C,0,7.251657691985615e-05,0.0,-7.251657692108893e-05,7.251657692108893e-05,False
phenol,H-O-C-C,C-O,O,C,0,-179.99992305162846,180.0,-7.694837154303968e-05,7.694837154303968e-05,False
piperidine,C-C-C-C,C-C,C,C,1,51.95710358173145,52.630620023927186,0.6735164421957336,0.6735164421957336,False
piperidine,C-C-C-N,C-C,C,C,1,-55.3889806463365,-56.504885269217056,-1.1159046228805494,1.1159046228805494,False
piperidine,C-C-N-C,C-N,C,N,1,58.544826015903176,62.18764416738422,3.6428181514810376,3.6428181514810376,False
piperidine,C-N-C-C,C-N,N,C,1,-58.54457987461445,-62.18765167032888,-3.643071795714434,3.643071795714434,False
piperidine,N-C-C-C,C-C,C,C,1,55.38852281721001,56.50490811111542,1.1163852939054095,1.1163852939054095,False
piperidine,C-C-C-C,C-C,C,C,1,-51.95687952356721,-52.63060841424599,-0.673728890678774,0.673728890678774,False
propane,H-C-C-C,C-C,C,C,0,-60.24424792772703,-59.8278689083381,0.41637901938892696,0.41637901938892696,False
propane,C-C-C-H,C-C,C,C,0,-179.99996715967785,180.0,-3.284032209194265e-05,3.284032209194265e-05,False
propionic_acid,H-C-C-C,C-C,C,C,0,-59.94353923567097,-59.70291588916401,0.2406233465069647,0.2406233465069647,False
propionic_acid,C-C-C-O,C-C,C,C,0,6.343325071066592e-05,-0.0032588730886215682,-0.0033223063393279517,0.0033223063393279517,False
propionic_acid,C-C-C-O,C-C,C,C,0,179.99983639055628,-179.99633889531646,0.003824714127290463,0.003824714127290463,False
propionic_acid,C-C-O-H,C-O,C,O,0,-179.9996043966861,179.99663404629862,-0.003761557015309336,0.003761557015309336,False
propionic_acid,O-C-O-H,C-O,C,O,0,0.00018689064199848757,0.0032506276701574203,0.0030637370281567655,0.0030637370281567655,False
propylene,H-C-C-C,C-C,C,C,0,-120.4162712468971,-120.72451035694968,-0.3082391100525683,0.3082391100525683,False
propyne,H-C-C-C,C-C,C,C,0,168.63014128699564,174.47679097831517,5.846649691319527,5.846649691319527,False
tert-butanol,H-C-C-C,C-C,C,C,0,-61.85720734977447,-61.49754713519903,0.35966021457545594,0.35966021457545594,False
tert-butanol,H-C-C-C,C-C,C,C,0,61.21777781925473,62.199890916663,0.9821130974082735,0.9821130974082735,False
tert-butanol,H-C-C-O,C-C,C,C,0,178.96804025039214,177.4179640550917,-1.5500761953004485,1.5500761953004485,False
tert-butanol,C-C-C-H,C-C,C,C,0,-177.06163778317477,-177.84302840902646,-0.7813906258516852,0.7813906258516852,False
tert-butanol,C-C-C-H,C-C,C,C,0,59.86339031007057,58.45954904895381,-1.403841261116753,1.403841261116753,False
tert-butanol,O-C-C-H,C-C,C,C,0,-57.88693432433074,-56.75853636756977,1.1283979567609776,1.1283979567609776,False
tert-butanol,C-C-C-H,C-C,C,C,0,59.43839289906594,58.5070126372206,-0.9313802618453337,0.9313802618453337,False
tert-butanol,C-C-C-H,C-C,C,C,0,-177.31319717765797,-177.7914523948926,-0.4782552172346186,0.4782552172346186,False
tert-butanol,O-C-C-H,C-C,C,C,0,-58.93734655212891,-59.64221629593549,-0.7048697438065687,0.7048697438065687,False
tert-butanol,C-C-O-H,C-O,C,O,0,60.31753899657779,60.94714487559059,0.6296058790127859,0.6296058790127859,False
tert-butanol,C-C-O-H,C-O,C,O,0,-60.31590435728342,-60.94646968742874,-0.6305653301453162,0.6305653301453162,False
tert-butanol,C-C-O-H,C-O,C,O,0,-179.999218964799,-179.9996769194363,-0.00045795463728381947,0.00045795463728381947,False
toluene,H-C-C-C,C-C,C,C,0,-150.8798931926697,-150.933491823328,-0.05359863065831405,0.05359863065831405,False
toluene,H-C-C-C,C-C,C,C,0,31.863456883328478,30.230339079544077,-1.633117803784387,1.633117803784387,False
trimethylamine,H-C-N-C,C-N,C,N,0,59.84619230536595,57.935885253880016,-1.910307051485944,1.910307051485944,False
trimethylamine,H-C-N-C,C-N,C,N,0,-177.66652923756465,-176.58088887805107,1.085640359513576,1.085640359513576,False
trimethylamine,C-N-C-H,C-N,N,C,0,-177.66639757656296,-176.5784698808828,1.0879276956801505,1.0879276956801505,False
trimethylamine,C-N-C-H,C-N,N,C,0,59.846318350171295,57.94863040880943,-1.8976879413618803,1.8976879413618803,False
trimethylamine,C-N-C-H,C-N,N,C,0,177.66637652706152,176.56196108189883,-1.1044154451626866,1.1044154451626866,False
trimethylamine,C-N-C-H,C-N,N,C,0,-59.846369938621784,-57.95773995440689,1.8886299842149015,1.8886299842149015,False
